source_id;p2p_scatter_over_mad;small_kurtosis;freq3_harmonics_rel_phase_2;p2p_scatter_2praw;freq_signif_ratio_31;beyond1std;freq1_harmonics_rel_phase_0;freq1_harmonics_rel_phase_1;freq1_harmonics_rel_phase_2;max_slope;freq1_harmonics_amplitude_2;freq1_harmonics_amplitude_3;freq1_harmonics_amplitude_0;freq1_harmonics_amplitude_1;qso_log_chi2nuNULL_chi2nu;freq2_harmonics_freq_0;freq3_harmonics_amplitude_1;percent_difference_flux_percentile;qso_log_chi2_qsonu;flux_percentile_ratio_mid20;freq1_harmonics_rel_phase_3;flux_percentile_ratio_mid80;freq3_harmonics_freq_0;skew;median_buffer_range_percentage;freq_amplitude_ratio_21;fold2P_slope_90percentile;freq_varrat;median_absolute_deviation;flux_percentile_ratio_mid35;freq2_harmonics_amplitude_1;freq2_harmonics_amplitude_0;freq2_harmonics_rel_phase_0;freq2_harmonics_amplitude_2;freq2_harmonics_rel_phase_3;freq2_harmonics_rel_phase_2;freq2_harmonics_rel_phase_1;freq_frequency_ratio_31;freq3_harmonics_amplitude_2;freq_signif_ratio_21;freq2_harmonics_amplitude_3;freq3_harmonics_amplitude_3;freq1_harmonics_freq_0;flux_percentile_ratio_mid65;freq_signif;freq_y_offset;freq_frequency_ratio_21;linear_trend;std;scatter_res_raw;fold2P_slope_10percentile;flux_percentile_ratio_mid50;percent_amplitude;freq3_harmonics_rel_phase_3;freq3_harmonics_rel_phase_0;freq3_harmonics_rel_phase_1;freq3_harmonics_amplitude_0;medperc90_2p_p;amplitude;p2p_scatter_pfold_over_mad;p2p_ssqr_diff_over_var;freq_amplitude_ratio_31;stetson_j;stetson_k;classification
18;0.991228070175;-1.50983050411;-1.93159645986;0.327262025046;0.771796360083;0.0;0.0;2.6643900809;-0.817538353745;2.0;0.0819855780386;0.0392586069184;0.312059371017;0.13426520521;0.283419339053;2.86535386645;0.000415806042905;0.691338994297;4.94260115027;0.406280586305;1.83708106145;0.935916429029;0.719352627712;0.0506765373953;0.148148148148;0.0350496369834;0.520925490157;2.87638949742e-07;0.285;0.566437567411;0.00301107491402;0.0109375676714;0.0;0.000201754170987;-2.65572602634;0.657163438714;-0.187400457258;2.4140884859;5.00625335356e-05;0.832607621925;0.000301339741908;8.84011284082e-06;0.29798105244;0.832444888186;3.74291917293;0.0936006424957;9.61589283273;1.37550261255e-05;0.292477108011;0.00607615830816;-0.586071988018;0.682746017532;0.357312282683;2.96037769994;0.0;-1.88937003694;0.00389947241988;5.43556409483;0.4015;0.0754385964912;1.56282973345;0.0124959311658;2.27305787333;1.07784995249;classical
19;1.38125;-0.16159774658;-2.98068564554;0.158529645187;0.627291112885;0.0;0.0;1.69744335343;-2.59729697808;27.0;0.0216558948583;0.0118380119157;0.181765662313;0.0431690434549;-0.154884028362;1.09325875509;0.00135440079342;0.371703459449;3.6812473964;0.209415539423;-0.627880376682;0.687978940042;8.68706144475;-0.875141527051;0.317073170732;0.0872624151567;1.72946415213;1.0875792308e-06;0.08;0.2880547574;0.00135999306255;0.015861310686;0.0;0.000270936727251;2.42692352321;1.47201252311;1.19174195286;5.1662037364;0.000738776802932;0.687279261995;8.16446156071e-05;0.000139200713693;1.6815173942;0.608117259984;4.74487462885;-0.0182079440176;0.650162025595;1.4013712736e-05;0.121885640904;0.0732560293687;-2.0744741728;0.487986748531;0.400876983955;-2.65455384461;0.0;2.99249661756;0.0119801908695;1.36396130761;0.247;0.3125;2.17339035431;0.0659100883911;0.0894518912289;0.995329913507;classical
20;1.62711864407;-1.15874409456;-2.48655690509;0.105241648898;0.706806126785;0.0;0.0;2.68755000329;-1.47487737763;37.0;0.00203063521764;0.00136291080738;0.111588976806;0.0197133424821;-0.167684575349;0.00115313029545;0.000569174745914;0.21868672648;2.89543643641;0.211617039239;-0.125905575387;0.904200336594;1.62641075551;-0.00265071390862;0.225;0.0577917426831;0.354788133313;1.39602824639e-07;0.059;0.344359698175;0.00143891684484;0.00644892143383;0.0;0.00052913621809;1.28515555035;-2.8992710518;-2.72392496324;2.800613952;0.00017319885688;0.679460335913;0.000120579416725;3.73438850854e-05;0.580733647473;0.746287474;4.74690785204;0.0140407476464;0.00198564402196;1.21147904487e-06;0.0766750896641;0.0418306331827;-0.48315860003;0.489016391382;0.12408719347;0.392507046488;0.0;3.02149681763;0.00344598265706;1.13446540694;0.1265;0.203389830508;2.20914084854;0.0308810310453;-0.405534109684;1.07655659711;classical
41;1.29568106312;-1.2008870597;2.24610168004;0.0566554687641;0.574231137374;0.0;0.0;2.67407060081;-0.757346271791;30.0;0.0350936065821;0.00689761846399;0.240244877695;0.0835312911478;-0.126778556528;0.429688413039;0.00172510626053;0.498471612221;4.37293181627;0.267353805205;1.79852148998;0.846783568762;2.96104693451;-0.143211936746;0.166666666667;0.0703283246357;0.353544109127;1.6449836698e-06;0.1505;0.388657777298;0.00610068312246;0.0168960197506;0.0;0.000656268641361;-0.00920578192677;-0.912022488199;2.56618242851;10.3308644308;0.000318221474308;0.597331975057;0.000709597885048;0.000148853257496;0.286621410468;0.675713024378;6.8966001006;0.00768427168329;1.4991497402;1.66310638555e-06;0.169183818759;0.0639151831189;-0.808367805569;0.502782452431;0.347721013851;0.585407954477;0.0;-2.14849313738;0.0117979174256;0.76093876025;0.2955;0.126245847176;2.18246943845;0.0491078833348;0.849969205493;1.1017341895;classical
42;1.33544303797;-1.4832463317;0.0171144866047;0.144399767163;0.707170635161;0.0;0.0;2.59701791395;-1.09609490347;5.0;0.00463047389717;0.000587880846949;0.125684554194;0.0237226354831;0.0180378651775;9.99132599799;0.0013628693976;0.24355918257;2.9648248396;0.249650463196;0.498001980909;0.937355300615;9.272618278;-0.332866026886;0.128205128205;0.0419733064621;0.14822899916;2.18471528366e-07;0.079;0.472586896293;0.00140374023441;0.00527539631071;0.0;0.000197439250739;-0.467638747515;3.09238751921;2.60312429003;37.2345284613;0.000190351966204;0.648548616367;3.89814581915e-05;2.9053728229e-05;0.249032783848;0.816151608619;4.67468696935;-0.00596571889422;40.1205248706;1.90352381202e-06;0.093281811646;0.0262930771834;-0.226672229515;0.706657535038;0.175980174066;2.74318093385;0.0;0.402306207467;0.0048838406305;1.07015920546;0.143;0.177215189873;2.14056346647;0.0388579222151;-0.185151842616;1.10566221282;classical
43;1.49756097561;-1.61520623564;-1.99457276488;0.0803870853826;0.619888455504;0.0;0.0;2.56399723777;-0.94047398778;4.0;0.0758307915183;0.0369852107978;0.344434174978;0.144259629673;-0.0715551611204;0.369260631979;0.00128417883945;0.835605684663;5.43473243323;0.33659631705;1.74605125954;0.968581151805;5.39758456401;-0.421067863317;0.1;0.028441974811;0.621404584271;6.60555330462e-07;0.205;0.467779544448;0.000511342101661;0.00979638812878;0.0;6.89398647087e-05;-2.36704514764;2.36066405115;-1.04610356517;15.9335628766;0.000444128269979;0.642140512566;6.67914087786e-05;0.000103556742533;0.338755657213;0.874096651716;4.75248198709;-0.00147634041747;1.09005008217;6.44212776466e-06;0.286840590529;0.0174419013171;-1.53225008714;0.595197539205;0.771740039943;-0.0913041075936;0.0;-2.58221339249;0.00853188521904;1.37448190181;0.42;0.136585365854;2.21327197002;0.0247707278744;2.12711893731;1.00508825501;classical
44;1.308;-1.25718342575;-1.73012436296;0.069889918068;0.708827444346;0.0;0.0;2.95250347762;0.0623775789344;13.0;0.0032157843425;0.000770827074563;0.206032648981;0.0284833459751;-0.308026328593;0.113455497699;0.000620162697358;0.364272290966;4.41805900173;0.233269501445;2.99642552727;0.966873320059;1.77181738619;0.308638454697;0.205128205128;0.0337057940668;0.497053397598;2.81222936172e-07;0.125;0.493188068974;0.000494352372143;0.0069444940376;0.0;0.000135694789853;-2.14391010673;-1.11673691116;-1.17551566104;3.6282294062;1.86479392433e-05;0.698829801233;7.02938395154e-05;3.8179383138e-05;0.488342160274;0.860479703573;4.68394304922;0.0280888984673;0.232327877722;1.55907282389e-05;0.150169455017;0.0250331527925;-0.726261189811;0.701182576236;0.22945146337;0.0266796098431;0.0;0.388575234129;0.00492942607958;1.16149614243;0.2165;0.176;2.4334052907;0.0239254608624;0.666231477181;1.08205808196;classical
45;1.27607361963;-1.10179481522;-0.326494134757;0.0328843483044;0.496729064705;0.0;0.0;2.67875676207;-0.888297405578;14.0;0.0861440359298;0.0471756683975;0.411520943429;0.177774689508;-0.0872059234235;1.75682020778;0.000223925403691;1.15801778774;6.01625510785;0.168258720235;1.82643646247;0.860853705938;9.52374930173;-0.52932879065;0.230769230769;0.0197158073517;0.459607164234;5.60162179114e-07;0.2445;0.282598377818;0.00116186679451;0.00811346764184;0.0;0.000398150374333;1.81320476412;-0.271328167473;-1.9266488313;39.1995823389;4.27330157975e-05;0.566880371852;7.41336315174e-05;1.9988379441e-05;0.242955376907;0.639300154414;6.94439117158;-0.00651278290872;7.23104065509;-2.84146190941e-06;0.325197611495;0.0183491951771;-1.5235576318;0.469638014097;0.963360276836;-1.03255480486;0.0;2.32991756536;0.00549057288041;1.96999312895;0.5235;0.0899795501023;2.35357774135;0.0133421469018;2.26811695125;0.99320206667;classical
46;2.16279069767;-0.659459045462;-1.76151621597;0.165356090009;0.712746885568;0.0;0.0;2.6392830771;-0.877430820388;33.0;0.0836687860532;0.0411919178847;0.332656041497;0.153478411624;-0.367412126413;9.20994189533;0.000369903869752;1.00279002775;5.45380760108;0.0943563186946;1.76875105209;0.751379403338;0.776762379713;-1.05354691913;0.342105263158;0.0232929173718;0.532733647038;2.89422401006e-07;0.129;0.189810391659;0.000362588943649;0.0077485296878;0.0;0.000204151150115;0.42104048286;-1.07049282154;0.963167236174;2.40621994885;4.23554589491e-05;0.735706885306;3.58618960567e-05;3.79463289225e-05;0.322814371182;0.480503453903;4.61373022628;-0.0761981555733;28.5301483376;-1.02951286901e-05;0.258293590605;0.0212065430619;-1.37032073981;0.348199445186;0.952540271299;-0.805223801567;0.0;3.13127455106;0.0051794070287;1.80790878636;0.444;0.209302325581;2.77407916138;0.0155698570974;1.33517347135;0.882439720513;classical
47;0.904347826087;-0.92665575053;0.744861015518;0.0685883286091;0.473394796191;0.0;0.0;2.58980147357;0.891392074495;12.0;0.00150076723849;0.00182277498968;0.104211430527;0.0154854104085;-0.0490013700482;9.38469970872;0.000388993541451;0.195004608716;2.59637767182;0.176735698379;-1.09266552189;0.898738344509;0.766441311061;0.42287864908;0.277777777778;0.0746985725029;0.408210925197;7.23549169035e-07;0.0575;0.358318502042;0.000262387458361;0.00778444509888;0.0;0.000165241903453;-0.213943163744;2.14322787768;3.0190477867;1.04564623326;5.70980794683e-05;0.500325930286;7.04529767546e-05;1.68874702701e-05;0.732983380692;0.724005801601;7.38414789559;0.0270166725089;12.8034276846;1.62815950477e-07;0.0711485526431;0.116949599935;-0.539245627213;0.565510609408;0.147292662656;2.69327567633;0.0;-2.05651157796;0.00641352004081;0.861489241033;0.136;0.191304347826;1.80495846636;0.0615433451816;-0.572353604037;1.05893831168;classical
