features.source_id;features.p2p_scatter_over_mad;features.small_kurtosis;features.n_points;features.freq3_harmonics_rel_phase_2;features.p2p_scatter_2praw;features.freq_signif_ratio_31;features.beyond1std;features.freq1_harmonics_rel_phase_0;features.freq1_harmonics_rel_phase_1;features.freq1_harmonics_rel_phase_2;features.max_slope;features.freq1_harmonics_amplitude_2;features.freq1_harmonics_amplitude_3;features.freq1_harmonics_amplitude_0;features.freq1_harmonics_amplitude_1;features.qso_log_chi2nuNULL_chi2nu;features.freq2_harmonics_freq_0;features.freq3_harmonics_amplitude_1;features.percent_difference_flux_percentile;features.qso_log_chi2_qsonu;features.flux_percentile_ratio_mid20;features.freq1_harmonics_rel_phase_3;features.flux_percentile_ratio_mid80;features.freq3_harmonics_freq_0;features.min;features.skew;features.median_buffer_range_percentage;features.freq_amplitude_ratio_21;features.fold2P_slope_90percentile;features.freq_varrat;features.median_absolute_deviation;features.flux_percentile_ratio_mid35;features.freq2_harmonics_amplitude_1;features.freq2_harmonics_amplitude_0;features.freq2_harmonics_rel_phase_0;features.freq2_harmonics_amplitude_2;features.freq2_harmonics_rel_phase_3;features.freq2_harmonics_rel_phase_2;features.freq2_harmonics_rel_phase_1;features.freq_frequency_ratio_31;features.freq3_harmonics_amplitude_2;features.freq_signif_ratio_21;features.freq2_harmonics_amplitude_3;features.freq3_harmonics_amplitude_3;features.freq1_harmonics_freq_0;features.flux_percentile_ratio_mid65;features.freq_signif;features.freq_y_offset;features.freq_frequency_ratio_21;features.linear_trend;features.std;features.scatter_res_raw;features.max;features.weighted_average;features.fold2P_slope_10percentile;features.median;features.flux_percentile_ratio_mid50;features.percent_amplitude;features.freq3_harmonics_rel_phase_3;features.freq3_harmonics_rel_phase_0;features.freq3_harmonics_rel_phase_1;features.freq3_harmonics_amplitude_0;features.medperc90_2p_p;features.amplitude;features.p2p_scatter_pfold_over_mad;features.p2p_ssqr_diff_over_var;features.freq_amplitude_ratio_31;features.stetson_j;features.stetson_k;sources.xml_filename;sources.original_source_id;sources.noisification;sources.noise_args;sources.true_period;sources.classification;sources.survey;sources.c1;sources.c2;sources.e1;sources.e2
21;1.34230769231;-1.73311938739;27.0;2.82314792351;0.20769577385;0.775546116901;0.0;0.0;2.95736313104;2.85312192896;8.0;0.00141119393112;0.00261897990346;0.172635509189;0.0162377617933;-0.232425751622;1.64465206215;0.00033557639395;0.31890022085;4.0055106277;0.484291090543;0.221351625499;0.964213904761;7.49143715449;15.546;0.192975144978;0.111111111111;0.0405929600174;0.379062869107;1.45714059481e-07;0.13;0.692102930795;0.000730633746217;0.0070077863221;0.0;0.00015027903595;-3.10633501668;-0.270005539727;0.755460500344;16.8338163956;0.000114035389242;0.840711477399;4.36415823741e-05;9.81438495925e-06;0.445023099838;0.866999696732;3.75012037807;0.02067914036;3.69565549013;8.59067884904e-08;0.139475826482;0.00568129512409;15.923;15.7121111111;-0.334742203535;15.685;0.774145376404;0.196843830077;2.52774509633;0.0;-1.33499424372;0.00326904036884;1.03232325923;0.1885;0.0923076923077;2.2903800827;0.0189360832206;0.712080242859;1.14202019207;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-3263.dat;21;identity;[];None;classical;ogle;None;None;None;None
22;0.875816993464;-1.18382422151;36.0;-0.879320929131;0.229278556184;0.674703140796;0.0;0.0;2.39683450568;-1.10558212025;12.0;0.0750506191156;0.029607299202;0.298479171428;0.141293664374;0.38916193882;6.31466229983;0.00243822196772;0.636742762628;4.19194661177;0.15933354417;1.67141591202;0.882690123153;0.630981701221;16.611;-0.476938474152;0.277777777778;0.0866447907249;0.837024645328;1.70951283962e-06;0.153;0.299901334618;0.0100268641092;0.0258616653441;0.0;0.00381110685236;-0.340683623845;1.93636048426;0.976754004531;1.27815613065;0.000826660008535;0.710914585204;0.00152739763116;5.43848280168e-05;0.493665590681;0.768183568464;4.41932759985;0.0050384407901;12.7913762252;-1.31646946461e-05;0.2126525959;0.0464181111436;17.361;17.0278830234;-1.64254979687;17.1235;0.553007191451;0.60324539069;-2.20849538171;0.0;-1.21096251891;0.0145897216529;2.15399346001;0.375;0.183006535948;1.36181607692;0.0488802001934;1.15260549651;1.00744941927;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-1985.dat;22;identity;[];None;classical;ogle;None;None;None;None
23;0.988764044944;-1.34363527972;84.0;-2.09320104579;0.0332460509904;0.585636153875;0.0;0.0;2.79134473102;-0.574674291333;36.0;0.01506648554;0.00481238151465;0.193934999875;0.0616712327657;-0.120499712616;7.82785696514;0.00316637573014;0.396162730107;4.13809116654;0.228945852234;2.19062636379;0.938286999334;9.09668348759;16.105;-0.0328093348606;0.166666666667;0.0537158868897;0.214287195827;8.03258458055e-07;0.1335;0.45958847604;0.000525494206582;0.0104173905172;0.0;0.000212060858466;2.55109752425;-2.70777135994;-0.142169697596;38.1011330256;0.00205228511722;0.595269115974;5.53279148706e-05;0.000160874997597;0.238750996761;0.776480050942;7.20165569379;0.0104190835397;32.7866985744;1.98757560129e-07;0.145197466507;0.0465174579965;16.564;16.3403283305;-0.496776194129;16.342;0.59827740716;0.243941623558;-2.20989189343;0.0;0.347028982421;0.00952234653828;0.993698423277;0.2295;0.12734082397;1.91798951467;0.0491007118077;0.595381895114;1.10049668334;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-2885.dat;23;identity;[];None;classical;ogle;None;None;None;None
24;0.993464052288;-1.16818718913;40.0;-0.0616406600685;0.189586203966;0.755090543807;0.0;0.0;-2.66635720698;0.941752021513;37.0;0.00515656838886;0.000704321079717;0.117191882477;0.017630686725;-0.0984851824558;5.46943249537;0.00152355558852;0.218672573661;2.0532577424;0.27121183063;-1.47008504113;0.902682981813;9.61560999713;18.456;0.203765649728;0.15;0.176107505528;1.72016301408;1.7614522865e-06;0.0765;0.50539518736;0.00113789656936;0.0206383700912;0.0;0.000221755755851;2.60243284757;-3.04234725712;2.34810505517;3.13021395182;9.92662017888e-05;0.714413628873;2.18675525414e-05;0.000137819563894;3.07186989297;0.770917610779;4.54719245798;0.00516263507892;1.78048963203;5.361205513e-06;0.0837182738415;0.108680490103;18.74;18.5666895306;-2.43831050521;18.576;0.635241585841;0.140194933339;-1.74271501656;0.0;-2.67821634852;0.0167168945822;0.8078634994;0.142;0.457516339869;1.80810267046;0.142645499234;-0.346965991887;1.11033396505;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-1598.dat;24;identity;[];None;classical;ogle;None;None;None;None
25;1.02290076336;-1.54814462804;70.0;-3.05754786514;0.0701777496288;0.621619618315;0.0;0.0;1.75584814459;-2.28377638917;8.0;0.00256131712469;0.00331822911624;0.116202147395;0.0193839550889;0.138385169929;9.04782616178;0.00477860017118;0.237978217373;2.55638429216;0.211511103503;2.22708479875;0.941950019974;4.95669996864;17.278;-0.418006718126;0.2;0.0881128248971;1.07239674089;6.32831928555e-07;0.0655;0.541358149705;0.00249687975099;0.0102388994661;0.0;0.000267188036444;2.96638795356;-2.08413160694;-0.163189428157;4.13409941871;0.000992377884389;0.576399872528;0.000179661126202;0.000257201285763;1.1989793826;0.794502367251;6.46968156048;-0.00215331463345;7.54627334974;-2.44707451068e-06;0.0897209381064;0.0790235506121;17.56;17.4382069127;-0.965730796032;17.479;0.680812449318;0.203372271183;0.914984622922;0.0;-0.166433472233;0.00881416060263;1.08168984412;0.141;0.198473282443;1.7084113187;0.0758519597119;-0.281050483987;1.11004875064;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-0965.dat;25;identity;[];None;classical;ogle;None;None;None;None
26;1.48888888889;-1.24063193674;48.0;2.97174807737;0.0580940427558;0.668019333239;0.0;0.0;2.25778996232;-1.97005188186;2.0;0.0213522670782;0.0086418226329;0.230267292072;0.0309888315427;-0.283158829736;0.253658969348;0.000295218818113;0.428086122517;4.42665070692;0.254786397785;1.01042656153;0.888029223039;7.88797932307;13.713;-0.332184364751;0.166666666667;0.0254604369991;0.0540499360501;2.89304813328e-07;0.135;0.439207512118;0.000669856874605;0.00586270588277;0.0;4.99159336476e-05;-2.60730033802;-1.81617566166;1.05254746321;170.455225225;8.82135341437e-05;0.643426962404;6.91499603342e-05;2.54505813302e-05;0.046275960814;0.712561326115;5.28580037793;-0.00457616017926;5.48144144144;3.46000538565e-06;0.153477581606;0.0209766440047;14.215;13.9974166667;-0.0830838379222;13.993;0.558641332533;0.29419584145;-0.92122698451;0.0;0.772035432137;0.00498823153062;0.929722944333;0.251;0.0814814814815;2.59296092475;0.0216627879962;0.713878129726;1.10064419072;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-1587.dat;26;identity;[];None;classical;ogle;None;None;None;None
27;1.42528735632;-1.31163295509;96.0;-2.36943682063;0.0381442090374;0.523905515448;0.0;0.0;2.85429375186;1.13555705785;18.0;0.000239979782148;0.00022722911455;0.148402662995;0.00919217254334;-0.18459617566;3.06625096149;0.00187177325655;0.269999708721;3.73151027789;0.252015599363;0.795982096802;0.934979022725;6.80204279892;15.827;-0.134284695573;0.177083333333;0.0552732103243;0.380697906435;8.52849368645e-07;0.087;0.440506921328;0.00250569974595;0.00820269160444;0.0;0.000524638901501;0.373503977433;-2.94207320597;-1.2437096306;15.5425438422;0.000178340794774;0.490508552564;3.74263389057e-05;0.000162444921308;0.437640251683;0.804500889199;7.7092438025;-0.00567306290722;7.00632757086;-1.09326665113e-06;0.0989680559917;0.0784575229985;16.147;15.9975458892;-0.472007543336;16.006;0.590501268376;0.179234020653;-1.39499554324;0.0;-2.20277765589;0.00777214564747;1.0090881775;0.16;0.149425287356;2.23678119926;0.0523720093063;-0.0604003526476;1.0920356055;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-2394.dat;27;identity;[];None;classical;ogle;None;None;None;None
28;1.27469135802;-1.20169033809;91.0;1.63736180751;0.0407052741374;0.546191719639;0.0;0.0;2.79465453645;-0.55979491333;51.0;0.047938823928;0.0146169323531;0.25612066369;0.107499162797;-0.0826750735863;1.2482021138;0.000534527353924;0.595024917195;4.94118547212;0.253894570437;2.25387809524;0.974253206347;6.75079355785;15.45;-0.327065937734;0.197802197802;0.0267270385495;0.373059551892;4.43359056087e-07;0.162;0.382754338187;0.0013654685438;0.00684534685177;0.0;0.000263840034524;-0.521075614659;-0.513997109354;1.50339957421;27.5229914607;0.000134298891084;0.562471228872;7.5761159081e-05;2.18665916751e-05;0.245278336386;0.741187173617;7.54935238183;-0.00849618093117;5.08892115053;2.03788333108e-06;0.201573047591;0.0276539328987;16.1;15.8286595694;-0.700952250342;15.88;0.564503186313;0.485935642287;2.78201553835;0.0;1.7689523174;0.00580530865832;1.05400500878;0.325;0.0864197530864;2.14955434482;0.0226663033536;1.15558739019;1.06803271445;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-1938.dat;28;identity;[];None;classical;ogle;None;None;None;None
29;1.01282051282;-1.39014595101;79.0;-0.137774789626;0.0385885380242;0.545923091726;0.0;0.0;1.66336291877;2.81044331311;23.0;0.00522079967616;0.00228625809293;0.179798384226;0.0135681190384;0.0904917275702;7.72472937535;0.00216416287299;0.344183057001;3.77507058523;0.282113180651;-0.341062872801;0.939147774677;0.469169856463;15.193;-0.167270973975;0.139240506329;0.0421756377908;0.340054323223;6.76350153358e-07;0.117;0.501886589699;0.00335847690202;0.0075831115285;0.0;0.000339109788811;1.67186687059;-1.70795599493;2.12078768124;1.46189454856;0.000203361558705;0.553264253643;0.000116516757908;0.000262415827529;0.320932762849;0.801575984838;6.96704184625;0.00180919337573;24.0696191525;-1.55129065929e-06;0.129654592712;0.0532253787265;15.587;15.4192850637;-0.335429809593;15.413;0.626816105619;0.224616199265;-1.26680707617;0.0;-0.268786275394;0.00664507394233;0.962458479671;0.197;0.141025641026;1.91819895632;0.0369584741872;0.424111457528;1.12536546504;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-0859.dat;29;identity;[];None;classical;ogle;None;None;None;None
30;1.23741007194;-1.34410630233;36.0;-2.24774694165;0.0923996656403;0.753316158023;0.0;0.0;-2.56584066713;1.39470179799;30.0;0.00446007740541;0.00225929204045;0.110071296236;0.013777276779;-0.122728821651;4.45579726905;0.00209637854349;0.197419965903;3.01520531123;0.267799237417;-1.00672476334;0.940138540632;0.806744210921;16.444;0.347561655525;0.166666666667;0.05081146141;0.302577925419;1.7101999956e-07;0.0695;0.479466666797;0.000959770904148;0.00559288342107;0.0;0.000179110309082;1.39036732165;0.394209751469;0.399807261326;1.57530180618;0.000395146767969;0.721865766298;3.87730918158e-05;9.02701262119e-05;0.512120412582;0.855438514848;4.45378993893;0.0109998215845;8.70068280736;6.03162973148e-06;0.0795069441412;0.0312462231019;16.685;16.5496971923;-0.404469051247;16.539;0.672395398564;0.125821743599;-1.31169788911;0.0;3.02080024113;0.00484832184339;1.07763794983;0.1205;0.21582733813;2.13582174931;0.0440471040968;-0.422239036992;1.10066360429;../data/OGLEIII/classical-cepheid/OGLE-LMC-CEP-0153.dat;30;identity;[];None;classical;ogle;None;None;None;None
